protease_con,ec5.1,ec50_4.9,ec50_4.4,ec50_4.2,ec50_3,ec50_2,ec50_0,4cuts,protease
0,0,0,0,0,0,0,0,0,trypsin
0.000423377,0.627874184,0.205186362,0.146025735,0.351179755,0.156885814,0.179235973,-0.143041943,0.291431473,trypsin
0.001270132,0.682211768,0.137650308,0.214219953,0.226379693,0.081019245,0.026973638,-0.233269492,0.167249958,trypsin
0.003810395,0.368125543,0.387062574,0.303972134,0.252835982,0.130429213,-0.045532443,-0.590464416,-0.081227343,trypsin
0.011431184,0.431366971,0.35319074,0.351617703,0.511762219,0.173152127,0.065722026,-0.843567947,-0.579333662,trypsin
0.034293553,0.194988054,0.258537787,0.232999661,0.334137344,-0.183751079,-0.553425068,-2.443771741,-2.645947824,trypsin
0.102880658,-0.210084042,-0.006397517,-0.017007535,-0.340219422,-0.929617945,-2.180667096,-5.35878991,-5.919797661,trypsin
0.308641975,-0.403574649,-0.589131423,-0.44807225,-0.649177632,-2.839088856,-5.350209431,-6.821456293,-6.887196927,trypsin
0.925925926,-0.692815777,-0.428797667,-0.559089724,-0.89655215,-5.080559623,-6.661475741,-7.14822252,-6.922888492,trypsin
2.777777778,-0.256331998,-0.700245444,-1.451881263,-3.020199486,-6.689944987,-7.098804933,-7.490998162,-7.088666388,trypsin
8.333333333,-0.323907754,-1.500732545,-4.158049405,-7.706895744,-7.212248326,-7.391702608,-7.891437392,-7.479842348,trypsin
25,-0.682308894,-3.708796316,-8.213298482,-8.943584945,-7.84948088,-8.061229964,-8.246519863,-7.292856348,trypsin
0,0,0,0,0,0,0,0,0,chymotrypsin
0.000423377,-0.405571727,-0.449175922,-0.432232874,-0.091985826,-0.394602753,-0.389431212,-0.6997683,-1.58846712,chymotrypsin
0.001270132,0.100083413,0.214031796,0.221857769,0.409849258,0.097910311,0.00733159,-0.310735805,-1.789135226,chymotrypsin
0.003810395,0.022779632,0.38193616,0.25578131,0.404117291,0.112907805,0.018500801,-0.889510743,-2.968576117,chymotrypsin
0.011431184,-0.309468344,0.07320121,-0.044809991,0.207508964,-0.135373174,-0.42168991,-2.258472311,-4.836667599,chymotrypsin
0.034293553,-0.338482559,0.262974216,0.091816484,0.303194446,-0.146514909,-1.31827826,-4.090503836,-6.245803197,chymotrypsin
0.102880658,-0.21501953,0.218948514,0.081306381,-0.224811145,-0.834330196,-3.893384663,-6.159758826,-6.984102309,chymotrypsin
0.308641975,-0.152499875,0.080485438,-0.081776691,-0.302997128,-2.778813266,-6.338311499,-7.063522785,-7.599054175,chymotrypsin
0.925925926,-0.3023712,-0.159226514,-0.376182647,-1.785513896,-4.944330346,-7.11772809,-7.371881989,-7.827924968,chymotrypsin
2.777777778,-1.311815146,-1.310260312,-1.711134912,-5.759715315,-6.933486112,-7.721518483,-8.016152624,-8.425378705,chymotrypsin
8.333333333,-3.290596666,-3.173093879,-4.322877683,-8.876003191,-7.621167287,-8.18721686,-8.424869864,-8.514190961,chymotrypsin
25,-7.480938393,-7.862101273,-8.927540732,-10.27437739,-8.605057155,-9.345059571,-9.385758763,-9.637088645,chymotrypsin